lemondefr;24744541;{"L'actualité de référence par la rédaction du Monde | Piloté par @charlotteherzog @gregorbrandy & @PBerhouet 📣 #Présidentielle2022 👉 @lemonde_pol"};10125109
franceinfo;38395124;{"L'actualité en direct et en continu avec le média global du service public."};2134279
France3tv;69060064;{'Être proche de vous au quotidien, c’est être aussi sur Twitter ! #France3 Nos replays sur https://t.co/nhcpmLKIWX ▶ https://t.co/REBihtzHV1'};484615
LeHuffPost;364513528;{"Un regard détonnant sur toute l'actu et ce qui vous fait réagir."};1218287
Le_Figaro;8350912;{'La culture de la liberté depuis 1826'};3598501
le_Parisien;38142665;{'L’actualité qui vous concerne📱🗞️'};3049972
LesEchos;92564226;{"L'actualité économique, financière et boursière française et internationale."};1339960
lequipe;18936161;{"Toute l'actualité sportive en temps réel // TV : @lachainelequipe // Facebook - Instagram - 👻 Snapchat : lequipe - 🎮 Twitch : lequipefr - Tiktok : @lequipe"};6012607
libe;68440549;{'Bienvenue sur le Twitter de Libé ! Abonnez-vous à Libération : https://t.co/0Yq00EKViF//Soutenez Olivier Dubois avec #FreeOlivierDubois'};3403074
LaCroix;12272292;{"Bienvenue sur le compte Twitter officiel du journal La Croix.////Un regard humain sur l'actualité."};74639
humanite_fr;53029114;{"L'Humanité, le journal fondé par Jean Jaurès, est un média libre au service des alternatives progressistes. Abonnez-vous : https://t.co/6zhhAgjtaB"};390761
brutofficiel;765849247262633984;{'Découvrez @BrutXOfficiel, le streaming façon Brut : https://t.co/2ZL255N3Ce'};753441
BFMTV;133663801;{"Première sur l'info Retrouvez-nous sur Snapchat/Instagram ➡ bfmtv 🗳 S'informer, c'est choisir"};3527548
Mediavenir;1214315619031478272;{'🌐 L’actualité en temps réel | 🗞 Sources sur @MediavenirPress | @MediavenirGN | 📲 Aussi sur https://t.co/VRNC4rNixS | 📨 contact@mediavenir.fr'};2170421
MediavenirPress;1272179157833834498;{'Communiqués, sources et coulisses de @Mediavenir & @MediavenirGN | Nous soutenir : https://t.co/ZYpJCdhwiI | Backup : @Mediavenir_b'};58753
lobs;21313364;{"Compte officiel de L'Obs 🗞️//Facebook 👉 /lenouvelobservateur//Instagram 📸 /lobs"};1523417
journalmetro;21334326;{'Média branché sur l’actualité de Montréal, sa culture et son art de vivre. 📽💬'};140487
LaTribune;137253079;{'Journal économique et financier - Economie, Entreprises & Finance, Tech, Idées : https://t.co/s21SPWaMyq//Découvrez notre nouveau quotidien numérique: https://t.co/Ql3VTieznn'};242306
Valeurs;112754792;{"L'hebdo de la droite qui s'assume. Nos réseaux sociaux : https://t.co/4adYu9phm7 | Youtube @VAplus_ : https://t.co/RD0houdTmB"};342423
OuestFrance;35777570;{"Bienvenue sur notre compte Twitter ! 🤗 Retrouvez toute l'actu de l'Ouest, de la France et du monde aussi en newsletter ! 📩 👉 https://t.co/ibHhCMOht3"};638714
CNEWS;18396319;{"Toute l'info sur le canal 16 de la TNT, mais aussi sur Facebook, Twitter, Instagram et TikTok"};2127141
20Minutes;2649991;{'Information en continu. Actualités, Politique, Sport, People, High Tech / Sur Facebook : http://t.co/39vntgKz'};2540493
canardenchaine;596420812;{"Compte officiel du Canard Enchaîné - La liberté de la presse ne s'use que quand on ne s'en sert pas."};777353
HugoDecrypte;4339979902;{"L'essentiel de l'actualité directement sur Twitter, sourcée et vérifiée. Aussi sur @mashup_talk. ☀️ Mon compte perso : @hugotravers"};329233
Europe1;34570323;{"Le pouvoir de l'écoute #Europe1//Ecoutez le monde changer sur Europe 1, la radio qui vous informe et vous divertit au quotidien. En direct ou en #podcast."};1604300
Qofficiel;743432061088899073;{"Compte officiel de l'émission #Quotidien présentée par Yann Barthès, diffusée du lundi au vendredi à 19H25 sur TMC !"};789543
LCI;26110930;{"Bienvenue sur LCI, #La26 sur la TNT. Le meilleur de l'info, de l'analyse, du décryptage et tous les grands événements en direct #RespectZone"};468436
FRANCE24;1994321;{'🌍 International News 24/7 in 4 languages: //@France24_fr - @France24_en - @France24_es - @France24_ar //📱 https://t.co/xDU6EWz22o  ✉️ https://t.co/ZaaXsh7FeN'};3907193
